"UserID","YOB","Gender","Income","HouseholdStatus","EducationLevel","Party","Happy","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","votes","sumNA","VQ_ratio"
1,1938,"Male","over $150,000","Married (w/kids)","Master's Degree","Independent",1,"No","No","No","No","No","Yes","Public","No","Yes","No","No","No","No","Yes","Science","Try first","No","No","Yes","Yes","Giving","Yes","Yes","Idealist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","Yes","Yes","Yes","Yes","No","TMI","Yes","Yes","Talk","Technology","No","No","Yes","No","No","Demanding","No","PC","No","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","No","Yes","Yay people!","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Own","Optimist","Dad","Yes","Yes","No","No","Nope","Yes","No","No","Yes","No","Yes","Only-child","No","No","Yes",86,17,0.788990825688073
2,1985,"Female","$25,001 - $50,000","Single (no kids)","Master's Degree","Democrat",1,"Yes","Yes","No","Yes","No","No","Public","No","Yes","Yes","Yes","No","Yes","Yes","Science","Study first","Yes","Yes","Yes","No","Giving","Yes","No","Idealist","No","Yes","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","Yes","A.M.","Yes","End","Yes","No","Me","No","Yes","No","Yes","Yes","TMI","No","No","Tunes","People","Yes","Yes","No","Yes","Yes","Supportive","No","Mac","Yes","Cautious","Yes","Yes!","No","Socialize","Yes","In-person","Yes","Yes","Yes","Yes","Yay people!","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Rent","Optimist","Dad","No","No","Yes","Yes","Check!","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes",66,35,0.605504587155963
5,1963,"Male","over $150,000","Married (w/kids)","Master's Degree","Republican",0,"No","Yes","No","Yes","No","No","Private","No","Yes","No","No","No","Yes","Yes","Science","Try first","Yes","No","No","No","Giving","Yes","No","Pragmatist","No","Yes","Cool headed","Standard hours","No","Right","Yes","Yes","No","Yes","A.M.","Yes","Start","Yes","Yes","Me","No","No","No","Yes","No","TMI","Yes","No","Talk","People","Yes","Yes","Yes","No","Yes","Supportive","No","PC","No","Risk-friendly","No","Yes!","No","Space","No","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Own","Optimist","Mom","Yes","Yes","No","Yes","Check!","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",101,2,0.926605504587156
6,1997,"Male","$75,000 - $100,000","Single (no kids)","High School Diploma","Republican",1,"Yes","Yes","Yes","No","Yes","Yes","Private","No","No","No","Yes","No","No","Yes","Science","Study first","No","Yes","No","Yes","Receiving","No","Yes","Pragmatist","No","Yes","Cool headed","Odd hours","No","Right","Yes","No","No","Yes","A.M.","Yes","Start","Yes","Yes","Circumstances","No","Yes","No","Yes","Yes","Mysterious","No","No","Tunes","Technology","Yes","Yes","Yes","Yes","No","Supportive","No","PC","No","Cautious","No","Umm...","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","Own","Pessimist","Mom","No","No","No","No","Nope","Yes","No","No","No","Yes","No","Yes","No","Yes","No",98,3,0.899082568807339
7,1996,"Male","$50,000 - $74,999","Single (no kids)","Current K-12","Republican",1,"No","No","No","No","Yes","Yes","Public","No","No","Yes","Yes","No","Yes","Yes","Science","Study first","No","Yes","No","No","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","No","Circumstances","Yes","No","Yes","Yes","No","Mysterious","No","Yes","Tunes","People","No","No","Yes","No","Yes","Supportive","No","Mac","No","Cautious","No","Yes!","No","Space","Yes","In-person","No","Yes","Yes","Yes","Yay people!","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Own","Optimist","Dad","Yes","No","Yes","Yes","Nope","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes",98,4,0.899082568807339
8,1991,"Female","under $25,000","Single (no kids)","Current Undergraduate","Libertarian",1,"Yes","Yes","No","No","No","No","Public","Yes","Yes","Yes","No","Yes","Yes","No","Art","Try first","Yes","No","Yes","No","Giving","No","Yes","Idealist","No","No","Hot headed","Standard hours","No","Happy","Yes","Yes","No","No","P.M.","No","Start","Yes","No","Me","No","Yes","Yes","No","No","TMI","No","No","Tunes","People","Yes","Yes","Yes","No","Yes","Supportive","Yes","PC","Yes","Cautious","No","Yes!","Yes","Socialize","No","In-person","No","No","Yes","Yes","Yay people!","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Rent","Optimist","Mom","No","No","Yes","No","Check!","No","No","No","Yes","No","No","Yes","No","Yes","No",83,19,0.761467889908257
9,1995,"Male","$75,000 - $100,000","Single (no kids)","Current K-12","Republican",1,"No","Yes","No","No","No","Yes","Public","No","No","No","No","Yes","No","Yes","Science","Try first","No","Yes","No","Yes","Giving","No","Yes","Idealist","No","Yes","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","Yes","No","Yes","Yes","No","TMI","No","No","Tunes","Technology","Yes","No","Yes","No","No","Demanding","No","PC","No","Risk-friendly","No","Yes!","No","Socialize","Yes","In-person","No","No","Yes","Yes","Yay people!","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes","Own","Optimist","Mom","No","No","Yes","Yes","Nope","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes",68,33,0.623853211009174
11,1983,"Male","$100,001 - $150,000","Married (w/kids)","Bachelor's Degree","Independent",1,"No","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","No","No","Yes","Science","Try first","No","Yes","Yes","No","Giving","Yes","No","Idealist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","No","Circumstances","Yes","No","No","Yes","No","TMI","No","No","Talk","People","No","Yes","Yes","Yes","Yes","Supportive","No","Mac","Yes","Risk-friendly","No","Umm...","No","Socialize","Yes","Online","No","Yes","No","Yes","Grrr people","No","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Own","Optimist","Mom","No","No","No","Yes","Check!","No","No","No","Yes","Yes","No","Yes","No","No","Yes",101,0,0.926605504587156
12,1984,"Female","$50,000 - $74,999","Married (w/kids)","High School Diploma","Republican",0,"No","Yes","No","No","No","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Art","Try first","Yes","No","No","No","Giving","No","No","Idealist","Yes","Yes","Hot headed","Standard hours","No","Happy","Yes","Yes","No","Yes","P.M.","No","End","No","No","Me","No","Yes","Yes","Yes","Yes","TMI","Yes","No","Tunes","People","No","No","Yes","No","No","Demanding","Yes","PC","Yes","Cautious","No","Yes!","No","Socialize","No","Online","No","No","Yes","Yes","Yay people!","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Own","Optimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","No","No","Yes","No","No","Yes",101,0,0.926605504587156
13,1997,"Female","over $150,000","Single (no kids)","Current K-12","Democrat",0,"No","Yes","No","No","No","Yes","Public","No","No","No","Yes","No","Yes","Yes","Science","Try first","Yes","Yes","No","Yes","Receiving","No","No","Pragmatist","No","No","Hot headed","Standard hours","No","Right","Yes","Yes","No","Yes","P.M.","Yes","Start","No","No","Circumstances","Yes","Yes","No","Yes","Yes","TMI","No","No","Tunes","Technology","No","Yes","Yes","Yes","Yes","Supportive","No","PC","No","Risk-friendly","Yes","Umm...","No","Space","Yes","In-person","No","No","Yes","Yes","Grrr people","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Own","Pessimist","Mom","No","Yes","Yes","Yes","Check!","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes",44,57,0.403669724770642
